season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
2010,PIT,T,,71,ACT,Flozell Adams,Flozell,Adams,1975-05-18,79.0,338.0,,00-0000045,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc",,21,SB,A01,Flozell,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,1998,1998,DAL,38,35.0
2010,PHI,K,,2,ACT,David Akers,David,Akers,1974-12-09,70.0,200.0,,00-0000108,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emsxaumip79uaj7bq8jd",,18,WC,A01,David,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,1997,1997,,,35.0
2010,SD,LS,,64,CUT,Ethan Albright,Lawrence,Albright,1971-05-01,77.0,260.0,,00-0000121,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lip7eu79zah64gpusebf",,5,REG,A01,Ethan,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,1994,1994,,,39.0
2010,BLT,ILB,,51,ACT,Brendon Ayanbadejo,Brendon,Ayanbadejo,1976-09-06,73.0,225.0,,00-0000551,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyeqlkvkt7b5ygv8lrwn",,19,DIV,A01,Brendon,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,1999,1999,,,33.0
2010,DEN,CB,,24,ACT,Champ Bailey,Roland,Bailey,1978-06-22,72.0,192.0,,00-0000585,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nxtpe8xo54kxbkyabih6",,17,REG,I01,Champ,BAI582194,,32004241-4958-2194-25da-8624608fa14d,1999,1999,WAS,7,32.0
2010,TB,CB,,20,ACT,Ronde Barber,Ronde,Barber,1975-04-07,70.0,184.0,,00-0000741,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ye1pozwxxdxdvfvtsl0z",,17,REG,A01,Ronde,BAR048197,,32004241-5204-8197-3361-5bb631aa79ce,1997,1997,TB,66,35.0
2010,CLV,ILB,,50,ACT,Eric Barton,Eric,Barton,1977-09-29,75.0,245.0,,00-0000846,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n1mcqe2q9khdadl7k77f",,17,REG,A01,Eric,BAR766216,,32004241-5276-6216-1360-96908316eed6,1999,1999,OAK,146,32.0
2010,PIT,QB,,16,ACT,Charlie Batch,Charles,Batch,1974-12-05,74.0,216.0,,00-0000865,1490,a725e7c5-86df-4b5b-abe0-71b809be988d,,945,367,BatcCh00,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/isysgvqm3qaxybeyhece",,21,SB,I02,Charlie,BAT039161,,32004241-5403-9161-d21e-19cbefc1c6b0,1998,1998,DET,60,35.0
2010,WAS,P,,6,RES,Josh Bidwell,Joshua,Bidwell,1976-03-13,75.0,228.0,,00-0001231,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k7icadkhemrtt1dxe07x",,4,REG,A01,Josh,BID711929,,32004249-4471-1929-ff9d-b0f0b0eaf2f8,1999,1999,GB,133,34.0
2010,SD,LS,,50,RES,David Binn,David,Binn,1972-02-06,75.0,228.0,,00-0001255,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcviqx4jjjh4lgwyyndp",,1,REG,A01,David,BIN713776,,32004249-4e71-3776-b6ac-6d094eb67190,1994,1994,,,38.0
2010,BLT,C,,77,ACT,Matt Birk,Matt,Birk,1976-07-23,76.0,310.0,,00-0001263,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/syn6ymqyg85njramfyq3",,19,DIV,A01,Matt,BIR643699,,32004249-5264-3699-ceca-a4c2ac765bda,1998,1998,MIN,173,34.0
2010,JAX,QB,,4,ACT,Todd Bouman,Todd,Bouman,1972-08-01,74.0,236.0,,00-0001545,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tm23xzlohyhulzy9pg69",,17,REG,A01,Todd,BOU357325,,3200424f-5535-7325-ae6b-87535418b5c6,1997,1997,,,38.0
2010,CLV,OLB,,96,ACT,David Bowens,David,Bowens,1977-07-03,75.0,265.0,,00-0001563,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iextaifd6jvbebrxydjp",,17,REG,A01,David,BOW130962,,3200424f-5713-0962-dbff-4624a7d64c95,1999,1999,DEN,158,33.0
2010,DAL,ILB,,51,ACT,Keith Brooking,Howard,Brooking,1975-10-30,74.0,242.0,,00-0001820,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mpkiqtbe16s0palpf99k",,17,REG,A01,Keith,BRO110262,,32004252-4f11-0262-5c9b-155d9afa1814,1998,1998,ATL,12,34.0
2010,DAL,K,,2,ACT,Kris Brown,Kristopher,Brown,1976-12-23,71.0,215.0,,00-0001980,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/klxeixm8x8hcbs42ql5a",,17,REG,I01,Kris,BRO521985,,32004252-4f52-1985-bb20-5663ab81e524,1999,1999,PIT,228,33.0
2010,SD,K,,3,ACT,Kris Brown,Kristopher,Brown,1976-12-23,71.0,215.0,,00-0001980,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/klxeixm8x8hcbs42ql5a",,11,REG,I02,Kris,BRO521985,,32004252-4f52-1985-bb20-5663ab81e524,1999,1999,PIT,228,33.0
2010,NYJ,QB,,8,ACT,Mark Brunell,Mark,Brunell,1970-09-17,73.0,215.0,,00-0002110,,,,,,,,,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p91vbvdb7ik4fcjuo7ym",,20,CON,A01,Mark,BRU575022,,32004252-5557-5022-ece0-cf2096eec69e,1993,1993,GB,118,39.0
2010,NO,K,,3,CUT,John Carney,John,Carney,1964-04-20,71.0,185.0,,00-0002655,,,,,,,,,23,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vayogcgph7k6j3uhza5d",,5,REG,A01,John,CAR243867,,32004341-5224-3867-1223-418051f03b99,1987,1987,,,46.0
2010,CHI,TE,,88,ACT,Desmond Clark,Desmond,Clark,1977-04-20,75.0,249.0,,00-0003035,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g9lsnunxeacqezoeq7pk",,20,CON,A01,Desmond,CLA258726,,3200434c-4125-8726-589f-5947dcb0262a,1999,1999,DEN,179,33.0
2010,TEN,QB,,5,ACT,Kerry Collins,Kerry,Collins,1972-12-30,77.0,247.0,,00-0003292,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jse9o88qf7weuicc1wwz",,17,REG,A01,Kerry,COL620367,,3200434f-4c62-0367-e9e9-6254a27bef4a,1995,1995,CAR,5,37.0
2010,CHI,QB,,10,ACT,Todd Collins,Todd,Collins,1971-11-05,76.0,223.0,,00-0003315,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vggpgpp9tb4aoeejafze",,20,CON,A01,Todd,COL694708,,3200434f-4c69-4708-19c1-34a28c98e006,1995,1995,BUF,45,38.0
2010,WAS,DE,,93,RES,Phillip Daniels,Phillip,Daniels,1973-03-04,77.0,302.0,,00-0003874,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/djld5mlcobtb0bir5snd",,15,REG,A01,Phillip,DAN576866,,32004441-4e57-6866-1904-975edd71bea6,1996,1996,SEA,99,37.0
2010,DEN,FS,,20,ACT,Brian Dawkins,Brian,Dawkins,1973-10-13,72.0,210.0,,00-0004073,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uer4z98pum4pancbyvnw",,17,REG,A01,Brian,DAW041411,,32004441-5704-1411-7a01-b4072a96b22c,1996,1996,PHI,61,36.0
2010,CLV,K,,4,ACT,Phil Dawson,Philip,Dawson,1975-01-23,71.0,200.0,Texas,00-0004091,1440,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269,994,422,,5714,229,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,,35.0
2010,CLV,QB,,17,ACT,Jake Delhomme,Jake,Delhomme,1975-01-10,74.0,215.0,,00-0004161,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k5ovzylfya7c86x91067",,17,REG,I02,Jake,DEL367367,,32004445-4c36-7367-f75e-2e1555e1a440,1997,1997,,,35.0
2010,TEN,DT,,99,ACT,Marques Douglas,Marques,Douglas,1977-03-15,74.0,290.0,,00-0004472,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fik4btinfyl074kc3u7q",,17,REG,A01,Marques,DOU543962,,3200444f-5554-3962-a6a8-6806079e77ba,1999,1999,,,33.0
2010,GB,WR,,80,ACT,Donald Driver,Donald,Driver,1975-02-02,72.0,194.0,,00-0004541,1966,25b678cc-e81b-46b2-8fd7-34d78441a922,,1450,533,DrivDo00,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meghf1spsre8cqmyobo7",,21,SB,A01,Donald,DRI611685,,32004452-4961-1685-1588-a156d3654c00,1999,1999,GB,213,35.0
2010,ARZ,G,,66,ACT,Alan Faneca,Alan,Faneca,1976-12-07,77.0,316.0,,00-0005058,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meyhtfvgyfanktcjjqjf",,17,REG,A01,Alan,FAN049971,,32004641-4e04-9971-c500-ee40b2060be3,1998,1998,PIT,26,33.0
2010,PIT,ILB,,51,ACT,James Farrior,James,Farrior,1975-01-06,74.0,243.0,,00-0005082,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e1snpx7u4x2unff9vosl",,21,SB,A01,James,FAR709765,,32004641-5270-9765-9ecd-f536c6ba8abe,1997,1997,NYJ,8,35.0
2010,NE,RB,,33,RES,Kevin Faulk,Kevin,Faulk,1976-06-05,68.0,202.0,,00-0005091,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tn3w20ec8x9oacqg51p5",,2,REG,A01,Kevin,FAU126264,,32004641-5512-6264-ad42-2b0145d4969d,1999,1999,NE,46,34.0
2010,MIN,QB,,4,ACT,Brett Favre,Brett,Favre,1969-10-10,74.0,222.0,,00-0005106,,,,,,,,,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m3sggjgdqlp4jqpxktvr",,17,REG,I01,Brett,FAV540222,,32004641-5654-0222-99cf-751115fb00cb,1991,1991,ATL,33,40.0
